parameter_id,symbol,code_name,entity,value,unit,source_page,source_type,availability,valid_range_or_set,planned_use,semantic_issue
P025,F_E_240,failure_cdf_E_240,E设备,0.05,probability,1,题面给定,设备使用前已知,"[0,1]",故障时刻CDF节点,同P022
P026,q_A,defect_probability_A,A子系统,0.025,probability,1,历史统计题面给定,测试前分布已知,"[0,1]",真实状态生成与Q1,队伍确认每台只生成一次且不维修；联合分布主基线独立并做相关性敏感性
P027,q_B,defect_probability_B,B子系统,0.03,probability,1,历史统计题面给定,测试前分布已知,"[0,1]",真实状态生成与Q1,队伍确认每台只生成一次且不维修；联合分布主基线独立并做相关性敏感性
P028,q_C,defect_probability_C,C子系统,0.02,probability,1,历史统计题面给定,测试前分布已知,"[0,1]",真实状态生成与Q1,队伍确认每台只生成一次且不维修；联合分布主基线独立并做相关性敏感性
P029,q_D,defect_probability_D,D联接子系统,0.001,probability,2,题面设定,综合测试前分布已知,"[0,1]",真实状态生成与Q1,队伍确认联接时只生成一次且E重测不重抽；主基线与A/B/C独立
P030,e_A,operator_error_A,A组测手,0.03,probability,1,历史统计题面给定,测试前已知,"[0,1]",观测模型,与50%分拆的条件概率口径不明确
P031,e_B,operator_error_B,B组测手,0.04,probability,1,历史统计题面给定,测试前已知,"[0,1]",观测模型,同上
P032,e_C,operator_error_C,C组测手,0.02,probability,1,历史统计题面给定,测试前已知,"[0,1]",观测模型,同上
P033,e_E,operator_error_E,E组测手,0.02,probability,1-2,历史统计题面给定,测试前已知,"[0,1]",观测模型与Q1,同上
P034,rho_fp,error_share_false_positive,全部测手,0.5,share,2,题面近似,测试前已知,"[0,1]",误判率候选,不能直接证明它是条件假阳性率
P035,rho_fn,error_share_false_negative,全部测手,0.5,share,2,题面近似,测试前已知,"[0,1]",漏判率候选,不能直接证明它是条件假阴性率
P036,n_fail,max_consecutive_failed_results,单道工序,2,次,1,题面给定,测试前已知,2,退出规则,队伍确认仅两次有效异常结果触发退出；中断无结果且不计失败
P037,N_2,batch_size_q2,问题2批次,100,台,2,题面给定,任务开始前已知,100,仿真规模,无
P038,H_2,shift_length_q2,问题2班次,12,h,2,题面上限,每日调度时已知,(0,12],班历,是否必取上限可由无成本支配性论证
P039,shifts_per_day_2,shifts_per_day_q2,问题2班制,1,班/日,2,题面给定,任务开始前已知,1,班历,队伍确认班外测试运输更换校准全部停工
P040,N_3,batch_size_q3,问题3批次,100,台,3,题面给定,任务开始前已知,100,仿真规模,队伍确认Q3为设备年龄代次寿命全部重置的独立新场景
P041,K,shift_length_q3,问题3班次,待选择,h,3,题面决策,计划制定时选择,"{9,9.5,10,10.5,11,11.5,12}",枚举决策,队伍确认每日两班各K后停24-2K；仅在途活动不可交接；七点全枚举
P042,shifts_per_day_3,shifts_per_day_q3,问题3班制,2,班/日,3,题面给定,任务开始前已知,2,班历,队伍确认两班连续且各组同步上下班；班外全部停工
P043,lambda_i,comprehensive_direction_share,综合测试,待求,share,2,问题1输出,综合真阳性事件后获得,各项非负且和为1,Q1输出及后续仿真,队伍确认多故障等权归因且完全正常装置假阳性不进入主表
P044,T,mean_completion_days,批次,待求,day,2-3,题目要求输出,任务完成后统计,非负,结果表,队伍确认日历小时除以24且不向上取整；另报小时和工作日编号
P045,S,mean_passed_count,批次,待求,台,2-3,题目要求输出,任务完成后统计,"[0,100]",结果表,队伍确认为流程最终判定通过数；真实可靠通过数另列
P046,P_L,total_false_negative_probability,批次,待求,probability,2-3,题目要求输出,任务完成后统计,"[0,1]",结果表,队伍确认最终通过且仍有真实问题的台数除以100
P047,P_W,total_false_positive_probability,批次,待求,probability,2-3,题目要求输出,任务完成后统计,"[0,1]",结果表,队伍确认最终退出且终止时已生成真实状态均正常的台数除以100
P048,YXB_j,effective_work_ratio,各专业组,待求,ratio,2-3,题目要求输出,任务完成后统计,"[0,1]",结果表,队伍确认分子含全部运行片段含中断且不含校准；分母为首班到末班全部计划班次乘班长
P049,t_turnover_overlap,turnover_duration_overlap,同一测试台完全重叠换位,0.5,h,队伍确认,附加建模口径,调度时已知,非负,替代敏感性周转,假设运出与运入完全重叠；不得表述为题面直接给定
P050,alpha_A,false_positive_conditional_A,A组测手,待求,probability,队伍再签字,精确流程标定,G2标定后,"[0,1]",固定观测核,字面主情景按单次无条件闭合求解；关键替代另存独立配置
P051,beta_A,false_negative_conditional_A,A组测手,待求,probability,队伍确认,精确流程标定,G2标定后,"[0,1]",固定观测核,同P050
P052,alpha_B,false_positive_conditional_B,B组测手,待求,probability,队伍确认,精确流程标定,G2标定后,"[0,1]",固定观测核,同P050
P053,beta_B,false_negative_conditional_B,B组测手,待求,probability,队伍确认,精确流程标定,G2标定后,"[0,1]",固定观测核,同P050
P054,alpha_C,false_positive_conditional_C,C组测手,待求,probability,队伍确认,精确流程标定,G2标定后,"[0,1]",固定观测核,同P050
P055,beta_C,false_negative_conditional_C,C组测手,待求,probability,队伍确认,精确流程标定,G2标定后,"[0,1]",固定观测核,同P050
P056,alpha_E,false_positive_conditional_E,E组测手,待求,probability,队伍再签字,精确流程标定,G2标定后,"[0,1]",固定观测核,在A/B/C主语义标定与到达E状态枚举后按单次无条件闭合求解；替代链独立求解
P057,beta_E,false_negative_conditional_E,E组测手,待求,probability,队伍确认,精确流程标定,G2标定后,"[0,1]",固定观测核,同P056
P058,calibration_profile_alt_chain,error_calibration_chain,全部测手,standard_chain_v1,version,队伍再签字,建模口径,G1再签字,版本字符串,关键替代语义,标准初测—触发重测链事件总体闭合；固定alpha/beta且只允许经验hat_e偏离；全链独立重跑
P059,t_turnover_literal,turnover_duration_literal,同一测试台顺序换位,1,h,1加队伍确认,题面字面派生,调度时已知,非负,主情景周转,P014加P015；与P049分别运行并绑定scenario_id
P060,calibration_profile,error_calibration_profile,全部测手,single_test_unconditional_v1,version,队伍再签字,建模口径,G1再签字,版本字符串,字面主语义,"(1-q)alpha=q beta=e/2；须先验e<=2min(q,1-q)，不可行则报告而不裁剪；绑定主配置P050-P057"
P061,key_schema,keyed_uniform_schema,全部随机流,key_schema_v1,version,V3复现规范,实现规范,G1已签字,版本字符串,键控均匀数,"canonical字段序+稳定哈希；禁止语言运行时默认hash与顺序RNG；U_Y不含squad_id/execution_no/restart_no"
P062,activity_boundary_profile,shift_boundary_activities,测试校准周转,nonpreemptive_within_shift_v1,version,队伍2026-08-13确认,附加建模口径,G1已签字,版本字符串,班末活动边界,测试/换新校准/复合周转均须在本班完整结束才启动；换新与校准不可分
P063,retest_handoff_profile,q3_ready_task_handoff,Q3全局就绪队列,cross_squad_global_fcfs_v1,version,队伍2026-08-13确认,附加建模口径,G1已签字,版本字符串,Q3换班与待重测,"换班只改on_duty_squad且不重建队列；待重测保留首败release_time与effective_attempt_no=2；可跨队完整执行；不插队并持续占台"
P064,registry_version,validation_registry,全项目检查,CR-V3.1,version,队伍再签字与检查治理,审计配置,G2前已冻结,版本字符串,运行与报告元数据,当前唯一检查注册表；必须与check_id共同记录；CR-V3.0仅作历史证据
